,genre,mode
848,norwegian metal,0.448979591837
849,venezuelan rock,0.64
850,choral,0.695652173913
851,aggrotech,0.58
852,neo-progressive,0.489795918367
853,turkish alternative,0.166666666667
854,hungarian pop,0.545454545455
855,classic colombian pop,0.52
856,kizomba,0.44
857,avant-garde,0.64
858,columbus ohio indie,0.755102040816
859,czech folk,0.872340425532
860,anime score,0.28
861,visual kei,0.56
862,mizrahi,0.4
863,barnemusikk,0.84
864,abstract beats,0.551020408163
865,italian metal,0.68
866,popgaze,0.755102040816
867,indian folk,0.48
868,deep latin alternative,0.708333333333
869,power-pop punk,0.84
870,ok indie,0.78
871,deep chill,0.3125
872,classic turkish pop,0.36
873,french movie tunes,0.714285714286
874,bubble trance,0.591836734694
875,goregrind,0.734693877551
876,j-indie,0.64
877,vintage italian soundtrack,0.7
878,melodic hard rock,0.66
879,deep tech house,0.541666666667
880,dark cabaret,0.58
881,shibuya-kei,0.708333333333
882,deep pop punk,0.8125
883,folkmusik,0.733333333333
884,power blues-rock,0.64
885,rai,0.265306122449
886,p funk,0.44
887,swedish punk,0.717391304348
888,russian punk,0.2
889,spanish reggae,0.38
890,black thrash,0.66
891,fidget house,0.510204081633
892,shimmer psych,0.74
893,musica nativista,0.928571428571
894,albanian pop,0.18
895,horrorcore,0.5
896,basque rock,0.765957446809
897,violin,0.681818181818
898,nu skool breaks,0.48
899,melodic power metal,0.56
900,turkish classical,0.326530612245
901,highlife,0.4
902,belly dance,0.36
903,string quartet,0.72
904,classic belgian pop,0.673469387755
905,indie psych-pop,0.734693877551
906,southern gospel,0.959183673469
907,chiptune,0.48
908,soukous,0.6
909,lds,1.0
910,instrumental post rock,0.836734693878
911,irish country,0.918367346939
912,brass band,0.58
913,classic polish pop,0.510638297872
914,bouncy house,0.5
915,vintage swedish pop,0.829787234043
916,timba,0.56
917,classic peruvian pop,0.408163265306
918,renaissance,0.56
919,acid techno,0.58
920,norwegian gospel,0.92
921,yugoslav rock,0.30612244898
922,dominican pop,0.7
923,classic icelandic pop,0.595744680851
924,arab folk,0.416666666667
925,southern soul blues,0.66
926,perth indie,0.64
927,neue deutsche welle,0.408163265306
928,swiss rock,0.5
929,zouk,0.66
930,deep melodic metalcore,0.62
931,sega,0.387755102041
932,mod revival,0.78
933,pakistani pop,0.755102040816
934,deep soul house,0.42
935,french folk pop,0.333333333333
936,deep christian rock,0.9
937,c86,0.78
938,rio de la plata,0.708333333333
939,native american,0.428571428571
940,college a cappella,0.84
941,uk dub,0.265306122449
942,jazz bass,0.54
943,miami bass,0.48
944,ambient idm,0.5
945,polish reggae,0.34693877551
946,nordic folk,0.7
947,hauntology,0.54
948,vienna indie,0.5625
949,swamp pop,0.9
950,modern uplift,0.8125
951,catalan folk,0.708333333333
952,chanson quebecois,0.75
953,girl group,0.84
954,brazilian composition,0.458333333333
955,digital hardcore,0.34
956,hip hop tuga,0.553191489362
957,hip hop quebecois,0.3125
958,deep neofolk,0.591836734694
959,vintage french electronic,0.448979591837
960,samba-enredo,0.521739130435
961,vocaloid,0.530612244898
962,italian jazz,0.66
963,croatian pop,0.458333333333
964,spanish folk,0.88
965,hard minimal techno,0.530612244898
966,vintage tango,0.5
967,desert blues,0.58
968,garage punk,0.78
969,bounce,0.681818181818
970,hiplife,0.625
971,mexican son,0.791666666667
972,german oi,0.551020408163
973,classical guitar,0.69387755102
974,drumfunk,0.387755102041
975,czech hip hop,0.652173913043
976,appalachian folk,0.857142857143
977,vietnamese pop,0.42
978,balkan brass,0.54
979,free improvisation,0.510638297872
980,riot grrrl,0.64
981,rosary,0.9
982,electronica,0.74
983,underground latin hip hop,0.520833333333
984,karneval,0.744680851064
985,serialism,0.591836734694
986,cante flamenco,0.468085106383
987,tico,0.408163265306
988,boogie-woogie,0.72
989,morna,0.22
990,ecuadoria,0.469387755102
991,traditional rock 'n roll,0.86
992,estonian pop,0.56
993,tin pan alley,0.84
994,german show tunes,0.65
995,disco polo,0.32
996,portuguese pop,0.826086956522
997,mbalax,0.551020408163
998,harpsichord,0.38
999,deep soundtrack,0.58
1000,polish indie,0.367346938776
1001,cyber metal,0.387755102041
1002,kids dance party,0.76
1003,metal guitar,0.58
1004,thrash core,0.56
1005,outsider,0.714285714286
1006,full on,0.541666666667
1007,composition d,0.625
1008,deep liquid,0.469387755102
1009,kompa,0.78
1010,new age piano,0.56
1011,heavy alternative,0.69387755102
1012,jumpstyle,0.44
1013,electropunk,0.56
1014,classic czech pop,0.744186046512
1015,stomp and whittle,0.74
1016,slovak hip hop,0.577777777778
1017,beats,0.571428571429
1018,brutal deathcore,0.62
1019,finnish indie,0.541666666667
1020,makossa,0.571428571429
1021,qawwali,0.64
1022,kwaito house,0.551020408163
1023,witch house,0.775510204082
1024,j-ambient,0.771428571429
1025,atmospheric post rock,0.74
1026,zillertal,0.95652173913
1027,gothic alternative,0.34
1028,funk carioca,0.604166666667
1029,latvian pop,0.510638297872
1030,crust punk,0.68
1031,oshare kei,0.645833333333
1032,blackgaze,0.612244897959
1033,psych gaze,0.69387755102
1034,grunge pop,0.673469387755
1035,orquesta tropical,0.469387755102
1036,ghazal,0.48
1037,classic venezuelan pop,0.65306122449
1038,rva indie,0.76
1039,irish indie,0.62
1040,denver indie,0.74
1041,world chill,0.30612244898
1042,deep gothic post-punk,0.74
1043,ethiopian pop,0.571428571429
1044,deep rai,0.478260869565
1045,electro dub,0.347826086957
1046,traditional ska,0.84
1047,hungarian hip hop,0.533333333333
1048,fake,0.72
1049,beatdown,0.78
1050,deep acoustic pop,0.69387755102
1051,drone folk,0.857142857143
1052,canadian hip hop,0.428571428571
1053,louisville indie,0.64
1054,dirty texas rap,0.510204081633
1055,neofolk,0.489795918367
1056,neo-rockabilly,0.66
1057,judaica,0.44
1058,deep flow,0.5
1059,japanese psychedelic,0.7
1060,ragtime,0.714285714286
1061,anarcho-punk,0.72
1062,workout,0.56
1063,austrian hip hop,0.5625
1064,guidance,0.56
1065,traditional british folk,0.755102040816
1066,calypso,0.88
1067,orquesta tipica,0.4
1068,swiss hip hop,0.416666666667
1069,geek rock,0.775510204082
1070,deep adult standards,0.86
1071,blaskapelle,0.808510638298
1072,classic french pop,0.5
1073,nwothm,0.510204081633
1074,deep smooth jazz,0.54
1075,deep dance pop,0.510204081633
1076,dark black metal,0.551020408163
1077,abstract,0.5625
1078,tone,0.770833333333
1079,neo-synthpop,0.54
1080,minimal melodic techno,0.425531914894
1081,nerdcore,0.62
1082,ukulele,0.92
1083,kurdish folk,0.285714285714
1084,ukrainian rock,0.265306122449
1085,kayokyoku,0.591836734694
1086,new beat,0.4375
1087,lithumania,0.625
1088,modern southern rock,0.92
1089,euroska,0.5625
1090,k-rock,0.673469387755
1091,classic soundtrack,0.58
1092,zouglou,0.591836734694
1093,australian indie,0.66
1094,indie emo,0.448979591837
1095,lo star,0.72
1096,atmospheric post-metal,0.58
1097,broken beat,0.44
1098,acousmatic,0.54
1099,minimal wave,0.469387755102
1100,solipsynthm,0.489795918367
1101,swedish prog,0.54
1102,alternative americana,0.755102040816
1103,darkstep,0.714285714286
1104,nl folk,0.82
1105,marching band,0.755102040816
1106,lounge house,0.382978723404
1107,semba,0.395833333333
1108,underground power pop,0.8
1109,psychedelic blues-rock,0.729166666667
1110,crack rock steady,0.78
1111,vegan straight edge,0.469387755102
1112,motivation,0.58
1113,schranz,0.489795918367
1114,traditional swing,0.4375
1115,chalga,0.469387755102
1116,musiikkia lapsille,0.869565217391
1117,footwork,0.54
1118,breakcore,0.510204081633
1119,yoik,0.604166666667
1120,leeds indie,0.65306122449
1121,tribute,0.816326530612
1122,funky breaks,0.530612244898
1123,indian classical,0.770833333333
1124,didgeridoo,0.63829787234
1125,classic dutch pop,0.938775510204
1126,slc indie,0.72
1127,deep contemporary country,0.959183673469
1128,danish indie,0.416666666667
1129,belgian indie,0.333333333333
1130,jazz brass,0.408163265306
1131,deep brazilian pop,0.531914893617
1132,corrosion,0.74
1133,black death,0.74
1134,japanese jazztronica,0.62
1135,electro trash,0.530612244898
1136,classic afrobeat,0.52
1137,gothic americana,0.551020408163
1138,slavic metal,0.58
1139,dark hardcore,0.5
1140,scratch,0.408163265306
1141,traditional scottish folk,0.795918367347
1142,hebrew pop,0.5
1143,garage punk blues,0.78
1144,hindustani classical,0.8125
1145,indie singer-songwriter,0.74
1146,deep german punk,0.673913043478
1147,deep disco,0.44
1148,electronicore,0.469387755102
1149,zydeco,0.68
1150,usbm,0.6
1151,string folk,0.632653061224
1152,beach music,0.760869565217
1153,luk thung,0.714285714286
1154,michigan indie,0.82
1155,south african jazz,0.62
1156,islamic recitation,0.755102040816
1157,spanish invasion,0.854166666667
1158,russian alternative,0.375
1159,deep orchestral,0.702127659574
1160,mallet,0.8125
1161,dark ambient,0.632653061224
1162,ragga jungle,0.541666666667
1163,progressive alternative,0.52
1164,fast melodic punk,0.630434782609
1165,martial industrial,0.447368421053
1166,deep discofox,0.857142857143
1167,enka,0.541666666667
1168,kwaito,0.632653061224
1169,porro,0.48
1170,power violence,0.66
1171,finnish hardcore,0.522727272727
1172,neurostep,0.541666666667
1173,classic russian pop,0.122448979592
1174,vapor house,0.65306122449
1175,deep melodic hard rock,0.69387755102
1176,downtempo fusion,0.5
1177,ostrock,0.565217391304
1178,spanish classical,0.787234042553
1179,monastic,0.551020408163
1180,string band,0.84
1181,ambient psychill,0.551020408163
1182,faroese pop,0.448979591837
1183,musica per bambini,0.8125
1184,rebetiko,0.354166666667
1185,romanian rock,0.617021276596
1186,panpipe,0.604166666667
1187,afrikaans,0.854166666667
1188,abstract idm,0.612244897959
1189,deep psychobilly,0.66
1190,ugandan pop,0.82
1191,bass trip,0.54
1192,power electronics,0.84
1193,french punk,0.632653061224
1194,library music,0.510204081633
1195,j-reggae,0.695652173913
1196,russian folk,0.46
1197,musique pour enfants,0.857142857143
1198,hard house,0.375
1199,concert piano,0.734693877551
1200,trash rock,0.645833333333
1201,wind ensemble,0.68
1202,deep liquid bass,0.574468085106
1203,deep jazz guitar,0.632653061224
1204,norwegian jazz,0.461538461538
1205,neo metal,0.714285714286
1206,gospel reggae,0.791666666667
1207,traditional soul,0.58
1208,persian traditional,0.36
1209,coupe decale,0.65306122449
1210,italian progressive rock,0.591836734694
1211,manele,0.340425531915
1212,magyar,0.590909090909
1213,melodic progressive metal,0.586956521739
1214,japanoise,0.755102040816
1215,bay area hip hop,0.44
1216,german ccm,0.913043478261
1217,bossa nova jazz,0.541666666667
1218,deep opera,0.8
1219,greek indie,0.571428571429
1220,consort,0.571428571429
1221,chaotic black metal,0.729166666667
1222,classic schlager,0.913043478261
1223,rap metalcore,0.7
1224,slam death metal,0.75
1225,deep ambient,0.64
1226,nz indie,0.854166666667
1227,polyphony,0.69387755102
1228,deep progressive trance,0.375
1229,galego,0.75
1230,indie fuzzpop,0.755102040816
1231,experimental psych,0.78
1232,iskelma,0.531914893617
1233,italian folk,0.478260869565
1234,tekno,0.634146341463
1235,shanty,0.6
1236,dark psytrance,0.511111111111
1237,breton folk,0.431818181818
1238,jig and reel,0.734693877551
1239,military band,0.729166666667
1240,technical brutal death metal,0.571428571429
1241,armenian folk,0.24
1242,gamecore,0.52
1243,tzadik,0.458333333333
1244,neo-pagan,0.42
1245,go-go,0.591836734694
1246,deep folk metal,0.5
1247,contemporary composition,0.645833333333
1248,deep canadian indie,0.76
1249,liturgical,0.673469387755
1250,speedcore,0.521739130435
1251,depressive black metal,0.367346938776
1252,accordion,0.553191489362
1253,skinhead reggae,0.857142857143
1254,bulgarian rock,0.31914893617
1255,harp,0.565217391304
1256,ambient fusion,0.520833333333
1257,funeral doom,0.409090909091
1258,pipe band,0.714285714286
1259,remix,0.489795918367
1260,screamocore,0.469387755102
1261,danish jazz,0.69387755102
1262,future ambient,0.604166666667
1263,deep soft rock,0.530612244898
1264,spoken word,0.56
1265,klezmer,0.452380952381
1266,j-core,0.404255319149
1267,deep german indie,0.666666666667
1268,minimal dubstep,0.479166666667
1269,deep sunset lounge,0.272727272727
1270,bemani,0.816326530612
1271,indorock,0.770833333333
1272,flick hop,0.458333333333
1273,indie shoegaze,0.645833333333
1274,vintage chanson,0.808510638298
1275,greek house,0.489361702128
1276,punta,0.448979591837
1277,doujin,0.56
1278,corsican folk,0.468085106383
1279,nepali,0.88
1280,screamo punk,0.64
1281,ghettotech,0.571428571429
1282,west african jazz,0.541666666667
1283,college marching band,0.632653061224
1284,kuduro,0.644444444444
1285,neo-industrial rock,0.387755102041
1286,greek hip hop,0.375
1287,barbershop,0.88
1288,jazz orchestra,0.571428571429
1289,benga,0.673469387755
1290,brass ensemble,0.541666666667
1291,stl indie,0.816326530612
1292,deep happy hardcore,0.416666666667
1293,hard glam,0.571428571429
1294,blues-rock guitar,0.617021276596
1295,mantra,0.739130434783
1296,british dance band,0.711111111111
1297,guitar case,0.938775510204
1298,african percussion,0.625
1299,dallas indie,0.744680851064
1300,geek folk,0.48
1301,carnatic,0.760869565217
1302,deep darkpsy,0.533333333333
1303,triangle indie,0.92
1304,cumbia funk,0.6875
1305,thrash-groove metal,0.54347826087
1306,outer hip hop,0.54347826087
1307,throat singing,0.708333333333
1308,swedish pop punk,0.666666666667
1309,sinhala,0.702127659574
1310,dark minimal techno,0.622222222222
1311,chinese traditional,0.52
1312,deep deep house,0.478260869565
1313,italian punk,0.545454545455
1314,unblack metal,0.659574468085
1315,deep vocal jazz,0.659574468085
1316,cornetas y tambores,0.521739130435
1317,jug band,0.854166666667
1318,indie pop rock,0.571428571429
1319,power noise,0.521739130435
1320,capoeira,0.723404255319
1321,commons,0.531914893617
1322,post-disco soul,0.416666666667
1323,halloween,0.5
1324,contemporary folk,0.938775510204
1325,finnish jazz,0.522727272727
1326,chinese indie rock,0.808510638298
1327,byzantine,0.65306122449
1328,zim,0.695652173913
1329,black sludge,0.714285714286
1330,vintage jazz,0.836734693878
1331,dubsteppe,0.276595744681
1332,deep psytrance,0.551020408163
1333,street punk,0.673913043478
1334,breaks,0.68085106383
1335,drama,0.791666666667
1336,abstractro,0.714285714286
1337,deep new wave,0.75
1338,gospel blues,0.770833333333
1339,light music,0.702127659574
1340,deep southern soul,0.714285714286
1341,deep indie rock,0.69387755102
1342,mexican traditional,0.979591836735
1343,gothic post-punk,0.571428571429
1344,cajun,0.86
1345,northern irish indie,0.63829787234
1346,british brass band,0.723404255319
1347,deep indie singer-songwriter,0.804347826087
1348,noise punk,0.708333333333
1349,traditional funk,0.617021276596
1350,polish jazz,0.541666666667
1351,baroque ensemble,0.56
1352,deep ragga,0.847826086957
1353,demoscene,0.652173913043
1354,japanese traditional,0.46
1355,deep downtempo fusion,0.5625
1356,heavy gothic rock,0.479166666667
1357,bangla,0.723404255319
1358,covertrance,0.477272727273
1359,deep vocal house,0.6
1360,deep freestyle,0.416666666667
1361,classical organ,0.659574468085
1362,deep full on,0.568181818182
1363,makina,0.63829787234
1364,c64,0.75
1365,spytrack,0.571428571429
1366,classical flute,0.571428571429
1367,musique concrete,0.787234042553
1368,grim death metal,0.760869565217
1369,polka,0.918367346939
1370,slash punk,0.666666666667
1371,muziek voor kinderen,0.692307692308
1372,deep jazz fusion,0.586956521739
1373,classic eurovision,0.58
1374,chamber choir,0.791666666667
1375,skiffle,0.808510638298
1376,poetry,0.541666666667
1377,deep funk house,0.531914893617
1378,fallen angel,0.395833333333
1379,electroacoustic improvisation,0.767441860465
1380,steelpan,0.92
1381,belorush,0.382978723404
1382,fussball,0.877551020408
1383,oratory,0.553191489362
1384,deep east coast hip hop,0.571428571429
1385,grisly death metal,0.530612244898
1386,traditional reggae,0.558139534884
1387,spanish indie rock,0.666666666667
1388,sunset lounge,0.418604651163
1389,early music ensemble,0.45652173913
1390,contemporary classical,0.591836734694
1391,lowercase,0.644444444444
1392,punk ska,0.68
1393,deep progressive house,0.422222222222
1394,indian rock,0.708333333333
1395,clarinet,0.631578947368
1396,deep jazz piano,0.617021276596
1397,deep melodic death metal,0.7
1398,hardcore breaks,0.5
1399,skinhead oi,0.891304347826
1400,vintage swing,0.630434782609
1401,hatecore,0.636363636364
1402,glitch beats,0.444444444444
1403,villancicos,0.888888888889
1404,deep classic garage rock,0.617021276596
1405,deep indie pop,0.787234042553
1406,neo soul-jazz,0.531914893617
1407,deep pop emo,0.866666666667
1408,traditional rockabilly,0.808510638298
1409,deep nordic folk,0.645833333333
1410,klapa,0.977777777778
1411,deep swedish rock,0.836734693878
1412,crossover prog,0.488888888889
1413,football,0.791666666667
1414,organic ambient,0.489361702128
1415,soda pop,0.816326530612
1416,deep chill-out,0.673913043478
1417,deep hardcore,0.565217391304
1418,deep filthstep,0.590909090909
1419,wrock,0.734693877551
1420,norwegian punk,0.5625
1421,deep northern soul,0.744680851064
1422,experimental dubstep,0.413043478261
1423,deep free jazz,0.8
1424,raw black metal,0.54
1425,thai indie,0.777777777778
1426,classic psychedelic rock,0.702127659574
1427,gamelan,0.69387755102
1428,deep surf music,0.510638297872
1429,dubstep product,0.659574468085
1430,goa trance,0.522727272727
1431,deep italo disco,0.422222222222
1432,deep thrash metal,0.729166666667
1433,deep g funk,0.586956521739
1434,accordeon,0.448979591837
1435,charred death,0.613636363636
1436,ambient dub techno,0.446808510638
1437,slovenian rock,0.68085106383
1438,maghreb,0.595744680851
1439,re:techno,0.555555555556
1440,malagasy folk,0.804347826087
1441,hard stoner rock,0.695652173913
1442,dark progressive house,0.533333333333
1443,zeuhl,0.666666666667
1444,neo honky tonk,0.816326530612
1445,tanzlmusi,1.0
1446,deep dub techno,0.608695652174
1447,j-punk,0.816326530612
1448,noise,0.488888888889
1449,chill groove,0.439024390244
1450,tibetan,0.666666666667
1451,deep punk rock,0.704545454545
1452,deep power-pop punk,0.8125
1453,j-poppunk,0.818181818182
1454,italo beats,0.55
1455,deep space rock,0.68085106383
1456,deep motown,0.770833333333
1457,kc indie,0.52
1458,new jack smooth,0.354166666667
1459,deep nz indie,0.63829787234
1460,alternative metalcore,0.695652173913
1461,chinese opera,0.644444444444
1462,vintage rockabilly,0.82
1463,deep eurodance,0.65306122449
1464,deep cello,0.591836734694
1465,chill-out trance,0.395833333333
1466,german street punk,0.695652173913
1467,terrorcore,0.615384615385
1468,doomcore,0.521739130435
1469,twin cities indie,0.8125
1470,french folk,0.755102040816
1471,glitter trance,0.395833333333
1472,nu electro,0.666666666667
1473,indie emo rock,0.80487804878
1474,deep classical piano,0.5625
1475,ceilidh,0.9375
1476,alternative hardcore,0.744186046512
1477,jangle rock,0.666666666667
1478,skweee,0.630434782609
1479,bulgarian folk,0.541666666667
1480,deep neo-synthpop,0.586956521739
1481,rhythm and boogie,0.895833333333
1482,swedish jazz orkester,0.632653061224
1483,deep hardcore punk,0.581395348837
1484,chinese experimental,0.652173913043
1485,jazz composition,0.560975609756
1486,modern downshift,0.666666666667
1487,ethereal gothic,0.478260869565
1488,ghoststep,0.472222222222
1489,anime cv,0.54
1490,modern free jazz,0.695652173913
1491,vintage schlager,0.934782608696
1492,song poem,0.877551020408
1493,neo-traditional country,0.913043478261
1494,deep orgcore,0.777777777778
1495,cryptic black metal,0.825
1496,cinematic dubstep,0.461538461538
1497,vintage country folk,0.795918367347
1498,vintage gospel,0.659574468085
1499,gothic doom,0.630434782609
1500,deep symphonic black metal,0.489795918367
1501,vintage reggae,0.714285714286
1502,deep german jazz,0.591836734694
1503,twee indie pop,0.653846153846
1504,saxophone,0.756097560976
1505,dark electro-industrial,0.94
1506,deep delta blues,0.734693877551
1507,caucasian folk,0.604166666667
1508,chip hop,0.520833333333
1509,deep breakcore,0.695652173913
1510,deep deep tech house,0.628571428571
1511,deep string quartet,0.68
1512,necrogrind,0.533333333333
1513,central asian folk,0.574468085106
1514,drone psych,0.742857142857
1515,vintage swoon,0.775510204082
1516,rock noise,0.54
1517,smooth urban r&b,0.46511627907
1518,deep latin jazz,0.589743589744
1519,vintage western,0.833333333333
