genre,acousticness
modern rock,0.09835026
tropical house,0.1218956
pop rap,0.150306816327
pop,0.1758476
post-teen pop,0.2084922
rap,0.14520918
rock,0.113103332
dance pop,0.1547644
trap music,0.1337901
edm,0.1341292
alternative rock,0.0521287387755
latin,0.1731368
pop rock,0.24491124
dwn trap,0.1459084375
alternative metal,0.022730336
neo mellow,0.3834132
r&b,0.1924912
southern hip hop,0.1606557
hip hop,0.14099428
classic rock,0.183441632
mellow gold,0.21592988
indie rock,0.13141604
album rock,0.19656002
viral pop,0.3368672
reggaeton,0.2035708
soft rock,0.21453254
post-grunge,0.025863536
indie r&b,0.4437952
latin pop,0.2121496
indie pop,0.17391748
pop punk,0.038683852
indietronica,0.12433524
permanent wave,0.0771762625
electro house,0.08587976
tropical,0.2301188
urban contemporary,0.294365
indie folk,0.4816054
folk-pop,0.4774748
singer-songwriter,0.41431146
nu metal,0.013905774
hard rock,0.093270404
hip pop,0.250107404255
contemporary country,0.15574418
indie poptimism,0.222808085106
big room,0.116841021277
rap metal,0.022375214
gangster rap,0.1182484
canadian pop,0.2215594
country road,0.15126378
country,0.17690194
folk rock,0.30481486
garage rock,0.0818645183673
house,0.12754142
grupera,0.455979591837
latin hip hop,0.218234680851
stomp and holler,0.40073244898
underground hip hop,0.16472812
chamber pop,0.6159626
dirty south rap,0.11445122449
rock en espanol,0.2784994
regional mexican,0.561186
progressive house,0.133813466
roots rock,0.2609303
blues-rock,0.140264018
funk rock,0.09906636
alternative dance,0.108178676
modern country rock,0.1351821
dance rock,0.1905736
trap latino,0.279012045455
europop,0.126728
new wave,0.1582195
neo soul,0.3740424
synthpop,0.170591388
new wave pop,0.17862856
adult standards,0.5703
banda,0.48386
latin alternative,0.2995876
neo-psychedelic,0.128927408
soul,0.3431458
classic funk rock,0.20855844
quiet storm,0.2700282
emo,0.022428262
psychedelic rock,0.29836246
norteno,0.44678
spanish pop,0.259386
deep pop r&b,0.301690826087
progressive electro house,0.083390322
deep indie r&b,0.52507496
rap rock,0.017792818
art rock,0.256824744
new rave,0.066637688
latin arena pop,0.3439694
escape room,0.2091844
motown,0.3269038
regional mexican pop,0.534438
screamo,0.02369578
shimmer pop,0.10113928
electronic,0.14093442
brostep,0.09008994
metal,0.0540911172
new romantic,0.1657986
teen pop,0.18548
disco,0.258444
deep big room,0.120928489796
indie anthem-folk,0.5871526
pop reggaeton,0.1946726
reggaeton flow,0.2624626
crunk,0.1260454
funk,0.25212986
vapor soul,0.3823306
trap francais,0.250604782609
acoustic pop,0.4473738
metropopolis,0.22025208
deep tropical house,0.14970112
west coast rap,0.1324901
deep german hip hop,0.168020653061
metalcore,0.007369572
punk,0.033401138
deep funk carioca,0.31400112
electronic trap,0.11189358
focus,0.9664
new americana,0.5610764
east coast hip hop,0.18048602
folk,0.469516
francoton,0.195496086957
sertanejo universitario,0.35097
hardcore hip hop,0.1454005
southern rock,0.18427672
brill building pop,0.479352
german hip hop,0.207101742857
christian alternative rock,0.12799556
jazz blues,0.70652
worship,0.14356452
groove metal,0.0027429816
ranchera,0.382494
boy band,0.1596262
piano rock,0.204279428571
talent show,0.2022674
freak folk,0.421043262
swedish pop,0.17418508
chillwave,0.112751058
british blues,0.24338228
modern blues,0.4057158
vocal jazz,0.7891
argentine rock,0.20583362
g funk,0.122458367347
christian music,0.13431764
redneck,0.10733622
vegas indie,0.0696512244898
new jack swing,0.190324979592
swedish idol pop,0.213716469388
bass trap,0.14399756
compositional ambient,0.88798
mpb,0.5992718
country rock,0.2650604
dance-punk,0.108202064
memphis soul,0.4396076
ccm,0.15144592
deep underground hip hop,0.25200984
soundtrack,0.77423
cumbia pop,0.1768414
noise pop,0.165978959184
rock-and-roll,0.50848226
soul blues,0.4448988
k-pop,0.118767918367
indie psych-rock,0.1674448
protopunk,0.26164788
moombahton,0.05814164
lo-fi,0.29354984
dream pop,0.329433285714
anthem worship,0.14728058
german pop,0.326057128
electric blues,0.3340646
outlaw country,0.29082918
melodic metalcore,0.005178858
detroit hip hop,0.183992
hollywood,0.531312158
deep dutch hip hop,0.168081717391
christian rock,0.1463435
southern soul,0.4464416
deep groove house,0.03665436
korean pop,0.20019206
chicago soul,0.423323265306
indiecoustica,0.393180408163
deep german pop rock,0.219057128
cantautor,0.408278
glam metal,0.06681614
pagode,0.56976
britpop,0.092176368
italian arena pop,0.2601996
traditional country,0.33429
glam rock,0.2555523
alternative hip hop,0.1619064
funk metal,0.0416019582
mariachi,0.437792
deep australian indie,0.34865048
classify,0.95336
underground pop rap,0.15238274
scorecore,0.623590127083
italian pop,0.3567336
samba,0.577296
tracestep,0.15676446
complextro,0.06234974
deep pop edm,0.1651062
downtempo,0.310824897959
trip hop,0.2786164
grime,0.2196802
british invasion,0.26840006
speed metal,0.0113170132
channel pop,0.656956
classical,0.975133333333
catstep,0.09996286
lilith,0.410666610204
bachata,0.389494
bossa nova,0.8241
deep house,0.0818015
skate punk,0.024817602
melancholia,0.68768
vapor twitch,0.26593366
lift kit,0.119170591837
disco house,0.053947912
symphonic rock,0.3141888
comic,0.227299008
pop emo,0.0618731021277
anti-folk,0.4256624
grunge,0.110032183556
duranguense,0.30361
australian dance,0.11715214
traditional folk,0.532264
bubblegum pop,0.388206
otacore,0.21856161
chillhop,0.550997959184
hoerspiel,0.651448979592
australian alternative rock,0.17229352
reggae fusion,0.1336235
sertanejo,0.404536
la indie,0.06311178
jazz,0.88348
rockabilly,0.533904
cumbia,0.2002772
nueva cancion,0.6020456
progressive rock,0.2944372
texas country,0.14108758
nu jazz,0.273171408163
video game music,0.446847685581
romantic,0.975133333333
roots reggae,0.1533544
slow core,0.73918027
swedish folk pop,0.3812136
space rock,0.32128926
madchester,0.082905236
power metal,0.0115188092
progressive metal,0.0127289706
dancehall,0.180821530612
nu gaze,0.243574634
alt-indie rock,0.051267904
french pop,0.47611
world worship,0.1753116
reggae,0.1417644
deep trap,0.112483591837
opm,0.548144
alternative country,0.429298
deep danish pop,0.2088742
mandopop,0.495584
spanish rock,0.237792520408
industrial metal,0.004385564
deep southern trap,0.10089426
forro,0.335906
sky room,0.04104934
brazilian hip hop,0.17211448
nashville sound,0.381346
indie garage rock,0.381978836735
taiwanese pop,0.495584
bolero,0.532996
thrash metal,0.0090465542
merseybeat,0.3094814
danish pop,0.34091048
lounge,0.69096
trance,0.04334458
finnish dance pop,0.105697825
jam band,0.3403842
deep latin hip hop,0.229212346939
chamber psych,0.32481228
jazz funk,0.4552702
deep taiwanese pop,0.490424
turkish pop,0.13866344
cool jazz,0.89168
post-punk,0.129146488
salsa,0.430604
eurodance,0.074832142
preverb,0.2698710246
brooklyn indie,0.171409889796
c-pop,0.495584
swedish alternative rock,0.040686998
minimal,0.93702
german techno,0.073443644898
pixie,0.060128604
chilean rock,0.3429704
deep cumbia sonidera,0.2807132
candy pop,0.060382077551
filter house,0.132249973
post-screamo,0.004439074
punk blues,0.106420986
vocal house,0.0556150122449
deep euro house,0.0874990014
deep new americana,0.562972
bow pop,0.40732561
french hip hop,0.2800037
alternative emo,0.126689286
axe,0.385046938776
big beat,0.148479367347
cabaret,0.84014
finnish pop,0.177627487755
progressive trance,0.032239334
chanson,0.6276748
swedish indie rock,0.276208288
industrial rock,0.048034056
merengue,0.410924
etherpop,0.262390612245
garage psych,0.14442611
jazz fusion,0.8144858
power pop,0.12457104
ninja,0.13174516
cantopop,0.505074897959
uk post-punk,0.147499563265
melodic death metal,0.0105757808
deep swedish hip hop,0.1613184
country dawn,0.29017755102
bubblegum dance,0.07869248
show tunes,0.681897959184
post rock,0.58120776
dutch hip hop,0.256102428571
vallenato,0.2197308
shiver pop,0.299391422
italian hip hop,0.18174362
dutch pop,0.316884204082
post-disco,0.1271714
bebop,0.90058
deep regional mexican,0.42944
spanish pop rock,0.342820408163
modern classical,0.960045454545
swedish eurodance,0.06595304
contemporary post-bop,0.87676
minimal techno,0.104540584
irish rock,0.126044108
dutch house,0.049841106383
turkish rock,0.243372040816
easy listening,0.6985
swedish hip hop,0.24172444
danspunk,0.130736777143
australian pop,0.202507468
indonesian pop,0.4967186
canadian indie,0.141618918367
wrestling,0.0301495367347
microhouse,0.254205938776
hip house,0.029680382
cumbia villera,0.233642857143
west coast trap,0.1355902
texas blues,0.3234562
celtic rock,0.11567918
broadway,0.514384
pinoy alternative,0.4767246
french indietronica,0.288886
blues,0.4336092
acid jazz,0.268031732609
anthem emo,0.104504657143
chillstep,0.17918132
movie tunes,0.6389
tech house,0.043408626
uk funky,0.10619522449
norwegian indie,0.329481428571
progressive bluegrass,0.592594
classic swedish pop,0.494902083333
traditional blues,0.487122
soul jazz,0.83912
stoner rock,0.0795733912
melodic hardcore,0.027421094
experimental rock,0.26500251
turntablism,0.1282422
norwegian pop,0.2435726
minimal dub,0.188183252857
fourth world,0.930816326531
electro,0.1236679188
swing,0.8728
latin christian,0.277625646
dreamo,0.2097970536
indie jazz,0.380886
rock gaucho,0.28994054
french rock,0.384844244898
post-hardcore,0.0472551782
epicore,0.314588125
azontobeats,0.2764744
zapstep,0.021813738
deep chiptune,0.2863851834
sheffield indie,0.072176806
uplifting trance,0.018196714
noise rock,0.189365202128
progressive post-hardcore,0.0303659596
hard bop,0.88834
antiviral pop,0.132975793878
aussietronica,0.21937966
indie punk,0.138780682
death core,0.000902864583333
electro latino,0.178109
ambient,0.91293877551
reggae rock,0.12278485
country blues,0.4424332
anime,0.094094838
deep funk,0.26171206
new age,0.828292
french reggae,0.160292844444
j-pop,0.083714876
groove room,0.05665816
lovers rock,0.1369872
deep melodic euro house,0.12113533
death metal,0.0016182238
nu disco,0.118977414286
indie rockism,0.0403184387755
electro swing,0.217373653061
country gospel,0.4896582
neo classical metal,0.0517461252
mexican indie,0.125257204082
uk garage,0.127359469388
gothic metal,0.0186690842
stride,0.87194
industrial,0.10259421
canadian metal,0.018998054
future funk,0.6467802
christian uplift,0.3070916
brazilian gospel,0.357278354167
german metal,0.02998166
swedish indie pop,0.32996886
gauze pop,0.27505534
turkish jazz,0.38293
christian hip hop,0.104999714286
latin jazz,0.60904
stoner metal,0.0568012924
experimental,0.247514102083
ska,0.123453146
french indie pop,0.3489820625
deep ccm,0.16883888
merengue urbano,0.2808052
classic norwegian pop,0.360803265306
pub rock,0.13601253
memphis blues,0.60201
ska punk,0.081552892
suomi rock,0.06668203375
afrobeats,0.2306904
hyphy,0.121704183673
liquid funk,0.02845076
swedish synthpop,0.122284
chicago blues,0.5298386
drill,0.19255246
vaporwave,0.3877574474
neue deutsche harte,0.008025326
louvor,0.527389795918
world,0.562860612245
dub,0.1771988
smooth jazz,0.316074
drum and bass,0.0436451628
memphis hip hop,0.09157154
j-rock,0.045146116
new orleans blues,0.520262
new weird america,0.439931458333
german pop rock,0.24497348
old school hip hop,0.0882681428571
relaxative,0.885754
trova,0.6142216
big band,0.88274
hardcore punk,0.036272314
stomp pop,0.1445621828
bass music,0.24497914
flamenco,0.698229787234
indonesian indie,0.478644081633
comedy,0.77102
baroque,0.974448275862
viking metal,0.003120355
russelater,0.128544
djent,0.0174449538298
mambo,0.508544
acoustic blues,0.652704
spanish indie pop,0.285986040816
swedish metal,0.0037389344
delta blues,0.6189366
norwegian rock,0.3552347906
deep texas country,0.135683367347
gospel,0.1975592
christian relaxative,0.655442173913
doo-wop,0.65514
icelandic pop,0.42306486
latin metal,0.070613288
cowboy western,0.600042
piedmont blues,0.662862
deep swedish indie pop,0.326615638298
wonky,0.26042158
hardstyle,0.054343994
classical period,0.9712
minimal tech house,0.0745586953061
cumbia sonidera,0.2392486
operatic pop,0.79318
meditation,0.545941
pop house,0.0822101
dangdut,0.389774081633
turkish folk,0.445563265306
hands up,0.087171244898
deep disco house,0.0598989918367
celtic,0.83268
desi,0.2342066
shoegaze,0.22675035
tejano,0.318314
boogaloo,0.474964
argentine reggae,0.2116446
nwobhm,0.015379312
deep hardstyle,0.0357148163265
dansband,0.225799111111
indian pop,0.2206606
danish pop rock,0.297344208163
japanese r&b,0.1547233
electropowerpop,0.045912546
gothic symphonic metal,0.0448797144
intelligent dance music,0.265355132
healing,0.877354
sleep,0.352586982
finnish hip hop,0.22502188
desi hip hop,0.25489755102
schlager,0.330051836735
melbourne bounce,0.03045758
contemporary jazz,0.765416
drone,0.815588
symphonic metal,0.018274758
spanish punk,0.0872386430612
filthstep,0.03088936
louisiana blues,0.5911954
children's music,0.276386791837
cubaton,0.289260816327
velha guarda,0.614568
electroclash,0.0944430289796
jangle pop,0.13515287
brazilian indie,0.467154693878
chicano rap,0.203208816327
spanish hip hop,0.311789795918
uk drill,0.236668
folk punk,0.318231228
k-hop,0.1684626
retro electro,0.0685572973469
alternative r&b,0.22538632
afrobeat,0.1826399
polish pop,0.274156530612
opera,0.86505
british folk,0.549606744186
nu-cumbia,0.26996
a cappella,0.379041632653
j-dance,0.107539716327
alternative pop rock,0.126938146
j-rap,0.165140632653
boston rock,0.11040615
future garage,0.218423061224
crossover thrash,0.0392733168
mathcore,0.0014399044
classic danish pop,0.171966189796
german indie,0.25136622
glitch,0.170329816
coverchill,0.54742
jazz metal,0.0125439142
environmental,0.322067276667
reading,0.6244375
filmi,0.3028252
rumba,0.627397916667
azonto,0.19279
levenslied,0.257357081633
polynesian pop,0.233434
glitch hop,0.0527292857143
melodipop,0.264912083333
arabesk,0.259609734694
zolo,0.1200214
northern soul,0.498054
underground rap,0.26125048
spanish new wave,0.24287108
vapor pop,0.32681805
brazilian punk,0.062653577
piano blues,0.77116
abstract hip hop,0.246096530612
deep turkish pop,0.16791274
christian dance,0.164985502
neoclassical,0.90284
norwegian hip hop,0.09926436
liedermacher,0.2875961
discofox,0.135954583333
australian hip hop,0.2285962
folk metal,0.0127053412
canadian country,0.193347195652
strut,0.107970541667
breakbeat,0.00933309
sludge metal,0.0164979122
italo dance,0.0777616326531
bluegrass,0.622768
new tribe,0.5271234
neo-singer-songwriter,0.4393354
finnish metal,0.0068198406383
danseband,0.25862626087
fluxwork,0.384091428571
hardcore techno,0.0258067
jump blues,0.627392
welsh rock,0.100724726939
technical death metal,0.00100628469388
german punk,0.01385742
fingerstyle,0.701632653061
float house,0.196335959184
sleaze rock,0.030592484
australian country,0.1937504
deep uplifting trance,0.0243898
alternative ccm,0.226465333333
folklore argentino,0.664396
kiwi rock,0.23349494
alternative pop,0.09229709
grave wave,0.17876706
swamp blues,0.44284934
electro jazz,0.28672656
rock steady,0.1687718
slow game,0.17182778
j-metal,0.0328720576
post-metal,0.102617218571
techno,0.0652569982
no wave,0.215786198
russian pop,0.1624774
stomp and flutter,0.731442
portland indie,0.295086306122
dutch rock,0.320633040816
doom metal,0.0498978768
modern performance,0.87032
pagan black metal,0.0399261441667
black metal,0.0003079758
jump up,0.024234178
pop flamenco,0.449916326531
hard alternative,0.0051958916
christian metal,0.0105368102
kirtan,0.745694
neurofunk,0.024984032
polish hip hop,0.234059408163
drift,0.90854
dark jazz,0.574253172
peruvian rock,0.383829
deathgrind,0.001075805
italian indie pop,0.363272
ectofolk,0.57539
symphonic black metal,0.000494056
classic italian pop,0.62979
turkish hip hop,0.190543958333
cuban rumba,0.553732
brega,0.396162653061
deep norteno,0.299840816327
happy hardcore,0.01808588
carnaval,0.203656744681
belgian rock,0.21096862
chicago house,0.06019594
medieval rock,0.143689787755
irish folk,0.574035555556
jungle,0.036459718
chamame,0.385048
scottish rock,0.18333004
rap chileno,0.1812264
classic chinese pop,0.594919
dark wave,0.0511899084
progressive uplifting trance,0.0111123133333
orgcore,0.0197190802222
austindie,0.37510064
idol,0.2162376
chicago indie,0.370940322
medieval,0.3706526
avant-garde jazz,0.76654
eurovision,0.212513693878
bay area indie,0.21522882
romantico,0.5487304
western swing,0.677506
russian rock,0.2108048
japanese city pop,0.17098556
new orleans jazz,0.8081
j-idol,0.136442874
italian disco,0.14207804
harmonica blues,0.578332
arab pop,0.2695544
puerto rican rock,0.289547081633
dubstep,0.04825352
classic finnish pop,0.284733955556
malaysian pop,0.477960408163
outsider house,0.32597314
mexican rock-and-roll,0.5165204
portuguese rock,0.32250755102
post-doom metal,0.0547057804
colombian rock,0.2150542
sertanejo tradicional,0.417963265306
brutal death metal,0.003112284
soul flow,0.218970536
salsa international,0.499371428571
seattle indie,0.33086812
avantgarde metal,0.0720310166
hardcore,0.0142658378
nasheed,0.57263877551
gbvfi,0.10934429
psychedelic doom,0.0455916286
celtic punk,0.057373664
grindcore,0.00129778938776
quebecois,0.3732012
austropop,0.2222608
brazilian ccm,0.527193877551
funky tech house,0.024907588
riddim,0.185590816327
psychedelic trance,0.06961822
speed garage,0.06765431875
baile funk,0.234709795918
classic russian rock,0.197351979592
freestyle,0.115135574468
j-poprock,0.113202974
italian pop rock,0.168074510204
ebm,0.0211989806
math pop,0.183841792
barnmusik,0.67512244898
spanish noise pop,0.26871041875
warm drone,0.915428571429
soca,0.1248948
nursery,0.755072
ethereal wave,0.373405112
nintendocore,0.0479394264
african gospel,0.271089
garage pop,0.1131911016
world meditation,0.91688
destroy techno,0.0419690522
balearic,0.144765971429
progressive deathcore,0.001657943
math rock,0.140458845417
laiko,0.24983492
acid house,0.117735897959
albuquerque indie,0.297043666
mande pop,0.532348
polish punk,0.22525446875
russiavision,0.1282666
deep latin christian,0.515138
indie dream pop,0.3883609226
kindermusik,0.407863636364
emo punk,0.0635543002439
entehno,0.290686
bassline,0.0722542
k-indie,0.462685708
classic finnish rock,0.245390439583
substep,0.2334924
electrofox,0.456270484
drill and bass,0.34850325102
turbo folk,0.159494040816
british alternative rock,0.0140341964
ambeat,0.315290716
ska revival,0.142909306122
deep minimal techno,0.0420664668889
bmore,0.0501945591837
british indie rock,0.182351532
canterbury scene,0.4631757
musica para ninos,0.68494
romanian pop,0.08483688
chill lounge,0.34123877551
rock catala,0.286492553191
free jazz,0.74524
argentine indie,0.373740204082
deep comedy,0.81692
twee pop,0.236882376
classic garage rock,0.276104478571
volksmusik,0.374306086957
post-post-hardcore,0.0082252714
electro-industrial,0.0165788398
gypsy jazz,0.81632
oi,0.0285506122
latin electronica,0.1424808
straight edge,0.0234651614
christian hardcore,0.0064756354
kabarett,0.565607446809
kraut rock,0.66304632
steampunk,0.289113272
singaporean pop,0.580499979592
swedish hard rock,0.0609754310204
world fusion,0.297401
slovak pop,0.192025918367
dansktop,0.293752040816
surf music,0.259474888
thai idol,0.3491954
gabba,0.110890165625
gothic rock,0.0343567281633
chaotic hardcore,0.0008188584
nu age,0.91368
bhangra,0.1646422
canzone napoletana,0.726332
retro metal,0.0999934406122
cello,0.63200548
mandible,0.655275112
ballroom,0.6452884
ye ye,0.442216
tango,0.865142857143
swedish jazz,0.814970285714
dixieland,0.80718
old-time,0.715954166667
laboratorio,0.571798061224
mashup,0.0813275102041
christelijk,0.450326869565
freakbeat,0.29139224
punjabi,0.193733877551
