genre,energy
modern rock,0.73686
tropical house,0.69322
pop rap,0.596183673469
pop,0.62882
post-teen pop,0.60412
rap,0.60098
rock,0.73242
dance pop,0.62944
trap music,0.57796
edm,0.72094
alternative rock,0.798918367347
latin,0.7713
pop rock,0.67174
dwn trap,0.587229166667
alternative metal,0.84278
neo mellow,0.57234
r&b,0.59218
southern hip hop,0.56746
hip hop,0.59426
classic rock,0.65862
mellow gold,0.64318
indie rock,0.72048
album rock,0.67646
viral pop,0.57279
reggaeton,0.74638
soft rock,0.6593
post-grunge,0.85202
indie r&b,0.47018
latin pop,0.8122
indie pop,0.71482
pop punk,0.8435
indietronica,0.6986
permanent wave,0.7505
electro house,0.7846
tropical,0.77108
urban contemporary,0.56978
indie folk,0.506036
folk-pop,0.51204
singer-songwriter,0.53606
nu metal,0.8638
hard rock,0.7504
hip pop,0.620191489362
contemporary country,0.70478
indie poptimism,0.64470212766
big room,0.753170212766
rap metal,0.85344
gangster rap,0.66048
canadian pop,0.57586
country road,0.72036
country,0.719336
folk rock,0.61326
garage rock,0.729346938776
house,0.76944
grupera,0.528673469388
latin hip hop,0.751744680851
stomp and holler,0.553146938776
underground hip hop,0.57286
chamber pop,0.439406
dirty south rap,0.651346938776
rock en espanol,0.67992
regional mexican,0.51112
progressive house,0.79248
roots rock,0.63898
blues-rock,0.71022
funk rock,0.72916
alternative dance,0.75998
modern country rock,0.7742
dance rock,0.72416
trap latino,0.672272727273
europop,0.7732
new wave,0.74712
neo soul,0.526368
synthpop,0.71948
new wave pop,0.73108
adult standards,0.42476
banda,0.5473
latin alternative,0.62876
neo-psychedelic,0.7294
soul,0.544
classic funk rock,0.66336
quiet storm,0.57884
emo,0.86566
psychedelic rock,0.58638
norteno,0.55092
spanish pop,0.73928
deep pop r&b,0.55702173913
progressive electro house,0.82698
deep indie r&b,0.45698
rap rock,0.86938
art rock,0.60852
new rave,0.75606
latin arena pop,0.65562
escape room,0.5927
motown,0.60324
regional mexican pop,0.55178
screamo,0.8791
shimmer pop,0.72884
electronic,0.66526
brostep,0.77706
metal,0.82832
new romantic,0.72504
teen pop,0.65212
disco,0.65216
deep big room,0.811551020408
indie anthem-folk,0.44246
pop reggaeton,0.77536
reggaeton flow,0.67994
crunk,0.65368
funk,0.59084
vapor soul,0.57544
trap francais,0.690239130435
acoustic pop,0.52294
metropopolis,0.59492
deep tropical house,0.72338
west coast rap,0.69164
deep german hip hop,0.694265306122
metalcore,0.92302
punk,0.8744
deep funk carioca,0.6467
electronic trap,0.7292
focus,0.0632182
new americana,0.47064
east coast hip hop,0.70166
folk,0.4829
francoton,0.705217391304
sertanejo universitario,0.8389
hardcore hip hop,0.710791666667
southern rock,0.6797
brill building pop,0.55692
german hip hop,0.670632653061
christian alternative rock,0.69908
jazz blues,0.30158
worship,0.60676
groove metal,0.92358
ranchera,0.56338
boy band,0.70118
piano rock,0.699428571429
talent show,0.66158
freak folk,0.54423
swedish pop,0.69354
chillwave,0.65935
british blues,0.64118
modern blues,0.55838
vocal jazz,0.234868
argentine rock,0.7278
g funk,0.78706122449
christian music,0.65738
redneck,0.74194
vegas indie,0.80906122449
new jack swing,0.583204081633
swedish idol pop,0.69012244898
bass trap,0.73674
compositional ambient,0.1082518
mpb,0.4253
country rock,0.62692
dance-punk,0.75716
memphis soul,0.52458
ccm,0.63142
deep underground hip hop,0.6356
soundtrack,0.1801114
cumbia pop,0.78166
noise pop,0.694591836735
rock-and-roll,0.5487
soul blues,0.51464
k-pop,0.781918367347
indie psych-rock,0.71842
protopunk,0.68238
moombahton,0.81924
lo-fi,0.601948
dream pop,0.605473469388
anthem worship,0.61214
german pop,0.61156
electric blues,0.60496
outlaw country,0.56728
melodic metalcore,0.93454
detroit hip hop,0.73176
hollywood,0.406018
deep dutch hip hop,0.718608695652
christian rock,0.69064
southern soul,0.50546
deep groove house,0.793
korean pop,0.74504
chicago soul,0.536510204082
indiecoustica,0.514326530612
deep german pop rock,0.65236
cantautor,0.64032
glam metal,0.8281
pagode,0.56126
britpop,0.79364
italian arena pop,0.65656
traditional country,0.53448
glam rock,0.68932
alternative hip hop,0.63398
funk metal,0.79846
mariachi,0.47734
deep australian indie,0.56262
classify,0.1113696
underground pop rap,0.67148
scorecore,0.324665416667
italian pop,0.630056
samba,0.43498
tracestep,0.75088
complextro,0.79288
deep pop edm,0.77274
downtempo,0.600040816327
trip hop,0.58638
grime,0.70338
british invasion,0.67768
speed metal,0.89348
channel pop,0.36545
classical,0.128149
catstep,0.75246
lilith,0.528436734694
bachata,0.6968
bossa nova,0.229318
deep house,0.7115
skate punk,0.90312
melancholia,0.297024
vapor twitch,0.6002
lift kit,0.746714285714
disco house,0.79768
symphonic rock,0.543162
comic,0.78692
pop emo,0.808276595745
anti-folk,0.525366
grunge,0.741377777778
duranguense,0.6186
australian dance,0.70592
traditional folk,0.45174
bubblegum pop,0.58178
otacore,0.66586
chillhop,0.364569387755
hoerspiel,0.590714285714
australian alternative rock,0.66188
reggae fusion,0.71612
sertanejo,0.8569
la indie,0.78756
jazz,0.127204
rockabilly,0.53448
cumbia,0.67798
nueva cancion,0.505678
progressive rock,0.545968
texas country,0.66364
nu jazz,0.660224489796
video game music,0.474308837209
romantic,0.128149
roots reggae,0.58626
slow core,0.304036
swedish folk pop,0.57742
space rock,0.441378
madchester,0.76736
power metal,0.90616
progressive metal,0.90588
dancehall,0.700040816327
nu gaze,0.661914
alt-indie rock,0.79482
french pop,0.546314
world worship,0.56754
reggae,0.5726
deep trap,0.592469387755
opm,0.395492
alternative country,0.48764
deep danish pop,0.63288
mandopop,0.4818
spanish rock,0.681612244898
industrial metal,0.85766
deep southern trap,0.64922
forro,0.7987
sky room,0.8479
brazilian hip hop,0.67234
nashville sound,0.5119
indie garage rock,0.567408163265
taiwanese pop,0.4818
bolero,0.46276
thrash metal,0.8894
merseybeat,0.55686
danish pop,0.58494
lounge,0.362566
trance,0.80856
finnish dance pop,0.762520833333
jam band,0.64308
deep latin hip hop,0.714530612245
chamber psych,0.563474
jazz funk,0.518344
deep taiwanese pop,0.4838
turkish pop,0.78822
cool jazz,0.1348342
post-punk,0.68238
salsa,0.75944
eurodance,0.86254
preverb,0.59272
brooklyn indie,0.71387755102
c-pop,0.4818
swedish alternative rock,0.8297
minimal,0.0936834
german techno,0.803673469388
pixie,0.84202
chilean rock,0.62308
deep cumbia sonidera,0.61698
candy pop,0.805693877551
filter house,0.70822
post-screamo,0.92546
punk blues,0.74332
vocal house,0.777346938776
deep euro house,0.64492
deep new americana,0.45678
bow pop,0.5594
french hip hop,0.73312
alternative emo,0.77484
axe,0.734734693878
big beat,0.74293877551
cabaret,0.22388
finnish pop,0.720714285714
progressive trance,0.81454
chanson,0.43411
swedish indie rock,0.6841
industrial rock,0.81796
merengue,0.72604
etherpop,0.629265306122
garage psych,0.72042
jazz fusion,0.1988342
power pop,0.73588
ninja,0.65727
cantopop,0.465693877551
uk post-punk,0.688734693878
melodic death metal,0.93202
deep swedish hip hop,0.68358
country dawn,0.68712244898
bubblegum dance,0.87678
show tunes,0.357640816327
post rock,0.3437784
dutch hip hop,0.673265306122
vallenato,0.80132
shiver pop,0.58994
italian hip hop,0.68852
dutch pop,0.631244897959
post-disco,0.7023
bebop,0.1295842
deep regional mexican,0.70706
spanish pop rock,0.671346938776
modern classical,0.0863054545455
swedish eurodance,0.83526
contemporary post-bop,0.1353142
minimal techno,0.65612
irish rock,0.64198
dutch house,0.845
turkish rock,0.706102040816
easy listening,0.317666
swedish hip hop,0.62406
danspunk,0.835244897959
australian pop,0.64518
indonesian pop,0.4574
canadian indie,0.702408163265
wrestling,0.839183673469
microhouse,0.568571428571
hip house,0.75724
cumbia villera,0.794469387755
west coast trap,0.62958
texas blues,0.583336
celtic rock,0.7603
broadway,0.4654
pinoy alternative,0.448552
french indietronica,0.57152
blues,0.527336
acid jazz,0.6065
anthem emo,0.782775510204
chillstep,0.63018
movie tunes,0.3558
tech house,0.74486
uk funky,0.739612244898
norwegian indie,0.587204081633
progressive bluegrass,0.43498
classic swedish pop,0.510741666667
traditional blues,0.4908
soul jazz,0.187454
stoner rock,0.7193
melodic hardcore,0.86896
experimental rock,0.65412
turntablism,0.6379
norwegian pop,0.6218
minimal dub,0.64012244898
fourth world,0.0905785714286
electro,0.74314
swing,0.19934
latin christian,0.60514
dreamo,0.6644
indie jazz,0.4265294
rock gaucho,0.64638
french rock,0.549755102041
post-hardcore,0.84576
epicore,0.579416666667
azontobeats,0.65712
zapstep,0.88424
deep chiptune,0.619384
sheffield indie,0.74852
uplifting trance,0.796
noise rock,0.735446808511
progressive post-hardcore,0.86396
hard bop,0.1258862
antiviral pop,0.783979591837
aussietronica,0.62252
indie punk,0.72396
death core,0.9465
electro latino,0.80136
ambient,0.121037959184
reggae rock,0.67466
country blues,0.47208
anime,0.8293
deep funk,0.6596
new age,0.234164
french reggae,0.648333333333
j-pop,0.84398
groove room,0.72008
lovers rock,0.59064
deep melodic euro house,0.61022
death metal,0.94904
nu disco,0.711775510204
indie rockism,0.813469387755
electro swing,0.780591836735
country gospel,0.467866
neo classical metal,0.85084
mexican indie,0.782795918367
uk garage,0.726326530612
gothic metal,0.8605
stride,0.154776
industrial,0.776984
canadian metal,0.83872
future funk,0.36458
christian uplift,0.509542
brazilian gospel,0.568729166667
german metal,0.79618
swedish indie pop,0.6432
gauze pop,0.56538
turkish jazz,0.55042
christian hip hop,0.698734693878
latin jazz,0.552946
stoner metal,0.8367
experimental,0.65605625
ska,0.77452
french indie pop,0.571125
deep ccm,0.55084
merengue urbano,0.72102
classic norwegian pop,0.563489795918
pub rock,0.71354
memphis blues,0.4816
ska punk,0.87042
suomi rock,0.865833333333
afrobeats,0.65484
hyphy,0.628102040816
liquid funk,0.80638
swedish synthpop,0.7244
chicago blues,0.50294
drill,0.69302
vaporwave,0.563048
neue deutsche harte,0.8621
louvor,0.464775510204
world,0.625857142857
dub,0.54538
smooth jazz,0.560858
drum and bass,0.84244
memphis hip hop,0.67664
j-rock,0.88634
new orleans blues,0.525022
new weird america,0.531510416667
german pop rock,0.67126
old school hip hop,0.705265306122
relaxative,0.1388118
trova,0.4332
big band,0.212612
hardcore punk,0.92558
stomp pop,0.68866
bass music,0.58848
flamenco,0.679382978723
indonesian indie,0.508408163265
comedy,0.86606
baroque,0.132386206897
viking metal,0.94264
russelater,0.785081632653
djent,0.853276595745
mambo,0.681346
acoustic blues,0.395012
spanish indie pop,0.633183673469
swedish metal,0.93932
delta blues,0.408092
norwegian rock,0.585148
deep texas country,0.67693877551
gospel,0.6229
christian relaxative,0.376506521739
doo-wop,0.47172
icelandic pop,0.468452
latin metal,0.84662
cowboy western,0.385886
piedmont blues,0.376926
deep swedish indie pop,0.606468085106
wonky,0.60856
hardstyle,0.86036
classical period,0.068983
minimal tech house,0.654040816327
cumbia sonidera,0.655
operatic pop,0.330254
meditation,0.424424008
pop house,0.83172
dangdut,0.552959183673
turkish folk,0.594775510204
hands up,0.840489795918
deep disco house,0.62906122449
celtic,0.226846
desi,0.76992
shoegaze,0.63728
tejano,0.64216
boogaloo,0.709046
argentine reggae,0.61852
nwobhm,0.90866
deep hardstyle,0.887428571429
dansband,0.815644444444
indian pop,0.77234
danish pop rock,0.569857142857
japanese r&b,0.807612244898
electropowerpop,0.85956
gothic symphonic metal,0.8716
intelligent dance music,0.660078
healing,0.1505092
sleep,0.437807318
finnish hip hop,0.6214
desi hip hop,0.771
schlager,0.664204081633
melbourne bounce,0.84464
contemporary jazz,0.2531376
drone,0.1371806
symphonic metal,0.86904
spanish punk,0.853693877551
filthstep,0.83242
louisiana blues,0.44119
children's music,0.636495918367
cubaton,0.822469387755
velha guarda,0.42296
electroclash,0.706081632653
jangle pop,0.7279
brazilian indie,0.57006122449
chicano rap,0.610387755102
spanish hip hop,0.709142857143
uk drill,0.65392
folk punk,0.66798
k-hop,0.7547
retro electro,0.748020408163
alternative r&b,0.59994
afrobeat,0.6582
polish pop,0.624265306122
opera,0.343275
british folk,0.373976744186
nu-cumbia,0.53618
a cappella,0.457885714286
j-dance,0.814959183673
alternative pop rock,0.69654
j-rap,0.772469387755
boston rock,0.68782
future garage,0.626918367347
crossover thrash,0.92744
mathcore,0.8834
classic danish pop,0.647204081633
german indie,0.575148
glitch,0.7269066
coverchill,0.40266
jazz metal,0.85854
environmental,0.662767414583
reading,0.2566875
filmi,0.73498
rumba,0.48498125
azonto,0.756816326531
levenslied,0.688510204082
polynesian pop,0.60646
glitch hop,0.793571428571
melodipop,0.618770833333
arabesk,0.759204081633
zolo,0.73622
northern soul,0.5564
underground rap,0.7093
spanish new wave,0.74556
vapor pop,0.559113636364
brazilian punk,0.84962
piano blues,0.386686
abstract hip hop,0.696795918367
deep turkish pop,0.79936
christian dance,0.78622
neoclassical,0.1471812
norwegian hip hop,0.57386
liedermacher,0.65892
discofox,0.903854166667
australian hip hop,0.73316
folk metal,0.94478
canadian country,0.681347826087
strut,0.773666666667
breakbeat,0.89514
sludge metal,0.88894
italo dance,0.843
bluegrass,0.4727
new tribe,0.44483
neo-singer-songwriter,0.50422
finnish metal,0.902191489362
danseband,0.675369565217
fluxwork,0.483510204082
hardcore techno,0.90066
jump blues,0.548246
welsh rock,0.783795918367
technical death metal,0.948591836735
german punk,0.855795918367
fingerstyle,0.347228571429
float house,0.623979591837
sleaze rock,0.8003
australian country,0.74338
deep uplifting trance,0.82887755102
alternative ccm,0.5921875
folklore argentino,0.36948
kiwi rock,0.58318
alternative pop,0.74092
grave wave,0.69018
swamp blues,0.53795
electro jazz,0.59988
rock steady,0.5356
slow game,0.57064
j-metal,0.91626
post-metal,0.722714285714
techno,0.6919
no wave,0.63796
russian pop,0.66104
stomp and flutter,0.348162
portland indie,0.616448979592
dutch rock,0.607751020408
doom metal,0.80688
modern performance,0.1100496
pagan black metal,0.786645833333
black metal,0.90092
jump up,0.88298
pop flamenco,0.718081632653
hard alternative,0.88616
christian metal,0.9367
kirtan,0.2342654
neurofunk,0.85248
polish hip hop,0.676387755102
drift,0.1249158
dark jazz,0.361835
peruvian rock,0.65902
deathgrind,0.95744
italian indie pop,0.658866
ectofolk,0.423728
symphonic black metal,0.91956
classic italian pop,0.390936
turkish hip hop,0.714
cuban rumba,0.63984
brega,0.607367346939
deep norteno,0.788816326531
happy hardcore,0.9403
carnaval,0.801872340426
belgian rock,0.61832
chicago house,0.73088
medieval rock,0.799571428571
irish folk,0.558224444444
jungle,0.88496
chamame,0.6675
scottish rock,0.73014
rap chileno,0.7038
classic chinese pop,0.42098
dark wave,0.76544
progressive uplifting trance,0.8746
orgcore,0.891888888889
austindie,0.607
idol,0.64386
chicago indie,0.59248
medieval,0.49922
avant-garde jazz,0.289778
eurovision,0.654163265306
bay area indie,0.70556
romantico,0.385358
western swing,0.38202
russian rock,0.67908
japanese city pop,0.72154
new orleans jazz,0.30899
j-idol,0.8572
italian disco,0.70924
harmonica blues,0.47906
arab pop,0.73406
puerto rican rock,0.728020408163
dubstep,0.82846
classic finnish pop,0.723
malaysian pop,0.460267346939
outsider house,0.55203
mexican rock-and-roll,0.46692
portuguese rock,0.601879591837
post-doom metal,0.70546
colombian rock,0.74538
sertanejo tradicional,0.687673469388
brutal death metal,0.9555
soul flow,0.63836
salsa international,0.677863265306
seattle indie,0.55088
avantgarde metal,0.73258
hardcore,0.93572
nasheed,0.379653061224
gbvfi,0.75134
psychedelic doom,0.7793
celtic punk,0.86172
grindcore,0.943
quebecois,0.54088
austropop,0.70522
brazilian ccm,0.503673469388
funky tech house,0.82158
riddim,0.726020408163
psychedelic trance,0.72672
speed garage,0.728770833333
baile funk,0.803489795918
classic russian rock,0.71593877551
freestyle,0.697063829787
j-poprock,0.80566
italian pop rock,0.727918367347
ebm,0.84426
math pop,0.71086
barnmusik,0.240183673469
spanish noise pop,0.655770833333
warm drone,0.101417755102
soca,0.78734
nursery,0.297346
ethereal wave,0.50949
nintendocore,0.82872
african gospel,0.65036
garage pop,0.7821
world meditation,0.12989226
destroy techno,0.75376
balearic,0.673408163265
progressive deathcore,0.95648
math rock,0.754395833333
laiko,0.78122
acid house,0.688775510204
albuquerque indie,0.64084
mande pop,0.546282
polish punk,0.662916666667
russiavision,0.7051
deep latin christian,0.55178
indie dream pop,0.585944
kindermusik,0.456545454545
emo punk,0.791341463415
entehno,0.73228
bassline,0.75324
k-indie,0.54153
classic finnish rock,0.688272916667
substep,0.5463
electrofox,0.51333
drill and bass,0.5654
turbo folk,0.844510204082
british alternative rock,0.88794
ambeat,0.55184
ska revival,0.672979591837
deep minimal techno,0.707355555556
bmore,0.758489795918
british indie rock,0.77588
canterbury scene,0.438178
musica para ninos,0.37361
romanian pop,0.75544
chill lounge,0.52506122449
rock catala,0.643893617021
free jazz,0.2959026
argentine indie,0.643714285714
deep comedy,0.79984
twee pop,0.66806
classic garage rock,0.65
volksmusik,0.645760869565
post-post-hardcore,0.935
electro-industrial,0.85478
gypsy jazz,0.398126
oi,0.87934
latin electronica,0.728
straight edge,0.90558
christian hardcore,0.93028
kabarett,0.436106382979
kraut rock,0.2700054
steampunk,0.66178
singaporean pop,0.500040816327
swedish hard rock,0.843530612245
world fusion,0.529558
slovak pop,0.723408163265
dansktop,0.612536734694
surf music,0.71996
thai idol,0.61964
gabba,0.937708333333
gothic rock,0.810040816327
chaotic hardcore,0.91634
nu age,0.11856538
bhangra,0.78458
canzone napoletana,0.39904
retro metal,0.787163265306
cello,0.45129758
mandible,0.2483454
ballroom,0.342636
ye ye,0.57166
tango,0.224246122449
swedish jazz,0.237948979592
dixieland,0.256072
old-time,0.39874375
laboratorio,0.390328367347
mashup,0.782244897959
christelijk,0.481932608696
freakbeat,0.636544
punjabi,0.802632653061
alternative roots rock,0.569136
futurepop,0.81636
vancouver indie,0.73056
christian punk,0.80448
choro,0.415664
african rock,0.67814
deep talent show,0.63254
e6fi,0.659572
drone metal,0.599089795918
nordic house,0.748306122449
electro bailando,0.82418
early music,0.12115
psychobilly,0.8879
hawaiian,0.378228
horror punk,0.90972
andean,0.50502
russian hip hop,0.663591836735
detroit techno,0.67393877551
progressive psytrance,0.756102040816
comedy rock,0.613346938776
