genre,tempo
modern rock,125.8007
tropical house,112.59064
pop rap,122.75922449
pop,113.8999
post-teen pop,114.80606
rap,126.87532
rock,127.67078
dance pop,116.2386
trap music,128.8105
edm,110.86134
alternative rock,118.883755102
latin,115.52078
pop rock,118.46838
dwn trap,130.5829375
alternative metal,130.85738
neo mellow,117.74702
r&b,116.63294
southern hip hop,128.6346
hip hop,131.68508
classic rock,127.5867
mellow gold,124.9064
indie rock,122.23996
album rock,126.17588
viral pop,115.83624
reggaeton,123.05612
soft rock,126.45942
post-grunge,131.90342
indie r&b,112.8019
latin pop,110.87098
indie pop,119.52066
pop punk,126.46378
indietronica,111.89302
permanent wave,119.626458333
electro house,124.32122
tropical,118.56662
urban contemporary,113.7735
indie folk,118.00362
folk-pop,121.28752
singer-songwriter,126.5596
nu metal,131.67868
hard rock,124.7244
hip pop,121.824893617
contemporary country,118.49462
indie poptimism,115.899914894
big room,123.982021277
rap metal,124.05326
gangster rap,121.48754
canadian pop,120.58388
country road,115.00114
country,119.5087
folk rock,126.05938
garage rock,120.870204082
house,118.47178
grupera,135.625265306
latin hip hop,124.522021277
stomp and holler,118.670959184
underground hip hop,127.21152
chamber pop,119.50244
dirty south rap,129.993755102
rock en espanol,124.71072
regional mexican,128.54478
progressive house,120.93154
roots rock,119.85162
blues-rock,119.02614
funk rock,112.20008
alternative dance,120.81576
modern country rock,124.09918
dance rock,124.44208
trap latino,130.47275
europop,119.40424
new wave,124.99796
neo soul,114.2995
synthpop,120.52204
new wave pop,125.55152
adult standards,118.35802
banda,132.4888
latin alternative,127.42476
neo-psychedelic,123.93738
soul,109.69646
classic funk rock,119.24038
quiet storm,113.32388
emo,133.43604
psychedelic rock,122.78196
norteno,133.15256
spanish pop,119.62424
deep pop r&b,118.973021739
progressive electro house,126.8984
deep indie r&b,104.84994
rap rock,122.32498
art rock,125.27498
new rave,123.11174
latin arena pop,128.84148
escape room,114.66656
motown,119.7479
regional mexican pop,130.11846
screamo,138.23148
shimmer pop,111.67554
electronic,114.94856
brostep,132.78766
metal,132.92
new romantic,124.89748
teen pop,118.468
disco,113.70938
deep big room,123.518040816
indie anthem-folk,115.18162
pop reggaeton,120.18064
reggaeton flow,135.50456
crunk,124.64102
funk,115.9641
vapor soul,118.77736
trap francais,124.362543478
acoustic pop,124.26718
metropopolis,114.77684
deep tropical house,112.74858
west coast rap,119.081
deep german hip hop,114.10944898
metalcore,134.70084
punk,137.7673
deep funk carioca,122.39906
electronic trap,129.1772
focus,103.64414
new americana,116.68276
east coast hip hop,115.37652
folk,119.36674
francoton,119.966065217
sertanejo universitario,125.2165
hardcore hip hop,114.465375
southern rock,124.03452
brill building pop,115.43306
german hip hop,109.59455102
christian alternative rock,128.6371
jazz blues,115.27978
worship,128.07856
groove metal,121.33488
ranchera,127.72134
boy band,116.98366
piano rock,124.498836735
talent show,117.14778
freak folk,124.52582
swedish pop,119.49902
chillwave,117.68566
british blues,118.03712
modern blues,116.38672
vocal jazz,111.65552
argentine rock,125.02594
g funk,111.476081633
christian music,125.4391
redneck,128.2458
vegas indie,129.046081633
new jack swing,117.763163265
swedish idol pop,119.208408163
bass trap,130.89168
compositional ambient,107.79008
mpb,121.00232
country rock,123.08
dance-punk,128.64024
memphis soul,120.32136
ccm,125.30918
deep underground hip hop,120.29404
soundtrack,110.56418
cumbia pop,119.9912
noise pop,121.543959184
rock-and-roll,121.35954
soul blues,122.05266
k-pop,113.498367347
indie psych-rock,117.12268
protopunk,126.21922
moombahton,129.76824
lo-fi,115.1558
dream pop,127.414591837
anthem worship,130.25048
german pop,125.03402
electric blues,124.00802
outlaw country,109.58972
melodic metalcore,130.7361
detroit hip hop,115.02892
hollywood,116.29796
deep dutch hip hop,118.360804348
christian rock,129.16296
southern soul,121.16876
deep groove house,122.78666
korean pop,113.57798
chicago soul,118.549244898
indiecoustica,118.699571429
deep german pop rock,120.72874
cantautor,121.90486
glam metal,123.43966
pagode,122.5777
britpop,132.30274
italian arena pop,116.79534
traditional country,117.60866
glam rock,126.30826
alternative hip hop,109.75144
funk metal,112.8154
mariachi,129.25784
deep australian indie,116.26882
classify,106.6535
underground pop rap,116.11212
scorecore,106.672666667
italian pop,121.75388
samba,119.81986
tracestep,130.27278
complextro,127.94266
deep pop edm,116.72838
downtempo,122.551816327
trip hop,124.43208
grime,118.26802
british invasion,127.21338
speed metal,134.83266
channel pop,113.37784
classical,98.4749333333
catstep,131.96452
lilith,118.230877551
bachata,128.68632
bossa nova,113.08266
deep house,118.37482
skate punk,137.1889
melancholia,110.75716
vapor twitch,118.90526
lift kit,125.210285714
disco house,122.9626
symphonic rock,122.20354
comic,123.26162
pop emo,135.829212766
anti-folk,111.8786
grunge,122.190866667
duranguense,127.13318
australian dance,124.46966
traditional folk,116.09064
bubblegum pop,118.57522
otacore,118.73666
chillhop,94.7276122449
hoerspiel,102.021081633
australian alternative rock,124.75042
reggae fusion,114.31354
sertanejo,131.73072
la indie,112.9911
jazz,107.57178
rockabilly,118.5544
cumbia,116.61942
nueva cancion,111.32838
progressive rock,125.06494
texas country,124.94012
nu jazz,122.345734694
video game music,110.094186047
romantic,98.4749333333
roots reggae,118.79632
slow core,114.7808
swedish folk pop,123.54952
space rock,122.9287
madchester,128.06536
power metal,137.51612
progressive metal,137.7507
dancehall,113.209346939
nu gaze,117.40328
alt-indie rock,127.61928
french pop,113.34908
world worship,123.25798
reggae,119.85034
deep trap,125.440040816
opm,116.68246
alternative country,113.53056
deep danish pop,118.14088
mandopop,131.73682
spanish rock,132.084530612
industrial metal,125.79114
deep southern trap,131.01214
forro,146.53572
sky room,126.84806
brazilian hip hop,122.61266
nashville sound,117.4814
indie garage rock,112.65477551
taiwanese pop,131.73682
bolero,122.73856
thrash metal,130.14204
merseybeat,121.14172
danish pop,115.78898
lounge,116.06618
trance,128.36716
finnish dance pop,120.863958333
jam band,131.57976
deep latin hip hop,122.459571429
chamber psych,122.60498
jazz funk,112.9849
deep taiwanese pop,131.85084
turkish pop,111.06942
cool jazz,107.7376
post-punk,124.91488
salsa,113.78124
eurodance,129.8279
preverb,116.5887
brooklyn indie,124.272367347
c-pop,131.73682
swedish alternative rock,133.67634
minimal,103.05264
german techno,126.766693878
pixie,128.25448
chilean rock,120.91242
deep cumbia sonidera,126.89414
candy pop,131.264306122
filter house,117.74294
post-screamo,132.58014
punk blues,125.48554
vocal house,123.455040816
deep euro house,121.9595
deep new americana,107.62358
bow pop,125.6342
french hip hop,113.02368
alternative emo,133.55058
axe,124.555734694
big beat,127.000571429
cabaret,113.5784
finnish pop,123.614918367
progressive trance,128.43628
chanson,112.98016
swedish indie rock,128.71532
industrial rock,121.58082
merengue,122.39044
etherpop,119.427367347
garage psych,131.50488
jazz fusion,104.6501
power pop,128.31186
ninja,115.87552
cantopop,132.35377551
uk post-punk,127.135142857
melodic death metal,128.44996
deep swedish hip hop,113.3223
country dawn,131.451204082
bubblegum dance,127.5543
show tunes,112.633489796
post rock,107.00768
dutch hip hop,118.123040816
vallenato,122.04402
shiver pop,116.47584
italian hip hop,117.11974
dutch pop,118.316061224
post-disco,117.57114
bebop,108.73134
deep regional mexican,121.7263
spanish pop rock,128.30755102
modern classical,108.499045455
swedish eurodance,133.00412
contemporary post-bop,107.74848
minimal techno,122.54458
irish rock,127.10526
dutch house,130.446978723
turkish rock,122.063632653
easy listening,113.35272
swedish hip hop,123.542
danspunk,137.340387755
australian pop,118.6881
indonesian pop,122.51258
canadian indie,115.503979592
wrestling,129.049040816
microhouse,124.397469388
hip house,121.36624
cumbia villera,116.063204082
west coast trap,121.80008
texas blues,119.72504
celtic rock,131.96524
broadway,116.33214
pinoy alternative,118.57266
french indietronica,117.2826
blues,123.88916
acid jazz,120.063521739
anthem emo,129.580959184
chillstep,128.00012
movie tunes,116.15278
tech house,123.19172
uk funky,127.518816327
norwegian indie,120.648306122
progressive bluegrass,119.4391
classic swedish pop,120.447270833
traditional blues,118.60148
soul jazz,110.61688
stoner rock,128.32446
melodic hardcore,131.93926
experimental rock,116.97162
turntablism,119.03504
norwegian pop,122.74718
minimal dub,119.875530612
fourth world,99.688244898
electro,124.64164
swing,106.56716
latin christian,127.90616
dreamo,126.67148
indie jazz,109.0268
rock gaucho,124.25042
french rock,115.463326531
post-hardcore,131.77504
epicore,116.621791667
azontobeats,110.98974
zapstep,141.84486
deep chiptune,117.26708
sheffield indie,128.20314
uplifting trance,132.49374
noise rock,121.342170213
progressive post-hardcore,137.66566
hard bop,106.93942
antiviral pop,121.778040816
aussietronica,117.6569
indie punk,129.257
death core,136.663395833
electro latino,113.9862
ambient,97.619122449
reggae rock,120.18386
country blues,114.6114
anime,140.79652
deep funk,111.78562
new age,109.81484
french reggae,106.517266667
j-pop,128.1199
groove room,119.12286
lovers rock,111.81316
deep melodic euro house,117.42658
death metal,120.53282
nu disco,114.04977551
indie rockism,124.609387755
electro swing,120.131836735
country gospel,114.74606
neo classical metal,132.9389
mexican indie,135.640204082
uk garage,125.280918367
gothic metal,131.16604
stride,109.95024
industrial,123.53668
canadian metal,135.9197
future funk,108.77194
christian uplift,121.6868
brazilian gospel,130.113875
german metal,120.91516
swedish indie pop,124.53398
gauze pop,121.39746
turkish jazz,111.17888
christian hip hop,127.761591837
latin jazz,106.21162
stoner metal,132.46696
experimental,124.5563125
ska,128.16312
french indie pop,119.713645833
deep ccm,122.37466
merengue urbano,125.57142
classic norwegian pop,120.35755102
pub rock,126.98572
memphis blues,117.34338
ska punk,128.74316
suomi rock,130.696604167
afrobeats,107.8371
hyphy,105.98944898
liquid funk,149.07506
swedish synthpop,120.5658
chicago blues,117.4769
drill,130.39528
vaporwave,117.29334
neue deutsche harte,128.16856
louvor,113.805061224
world,116.632244898
dub,118.34568
smooth jazz,105.69164
drum and bass,149.8634
memphis hip hop,128.31994
j-rock,145.20836
new orleans blues,119.31174
new weird america,114.115520833
german pop rock,124.01826
old school hip hop,112.865081633
relaxative,103.53652
trova,108.31162
big band,114.45046
hardcore punk,144.59434
stomp pop,128.366
bass music,121.36862
flamenco,115.097851064
indonesian indie,113.007734694
comedy,100.52
baroque,95.9874482759
viking metal,138.19034
russelater,125.114714286
djent,128.214957447
mambo,105.96564
acoustic blues,117.00344
spanish indie pop,131.599918367
swedish metal,126.81014
delta blues,119.11524
norwegian rock,123.57212
deep texas country,120.438571429
gospel,110.303
christian relaxative,116.215934783
doo-wop,130.47524
icelandic pop,122.04652
latin metal,121.53144
cowboy western,114.22258
piedmont blues,125.96752
deep swedish indie pop,130.204276596
wonky,109.2656
hardstyle,140.04506
classical period,107.6828
minimal tech house,120.762510204
cumbia sonidera,123.59106
operatic pop,106.58548
meditation,85.20818
pop house,128.70886
dangdut,126.847102041
turkish folk,112.524530612
hands up,139.544938776
deep disco house,121.983714286
celtic,107.39854
desi,114.7512
shoegaze,122.43942
tejano,138.96428
boogaloo,110.69918
argentine reggae,121.11872
nwobhm,130.85688
deep hardstyle,144.367
dansband,122.7066
indian pop,115.49146
danish pop rock,123.968938776
japanese r&b,127.40044898
electropowerpop,132.0979
gothic symphonic metal,129.0146
intelligent dance music,133.18998
healing,89.4202
sleep,59.12258
finnish hip hop,110.2851
desi hip hop,119.230571429
schlager,126.525816327
melbourne bounce,128.73878
contemporary jazz,110.59244
drone,99.57604
symphonic metal,134.63686
spanish punk,132.899489796
filthstep,130.84578
louisiana blues,117.32964
children's music,124.080979592
cubaton,117.869469388
velha guarda,106.4537
electroclash,120.547020408
jangle pop,124.95882
brazilian indie,112.35755102
chicano rap,105.470061224
spanish hip hop,99.4334081633
uk drill,120.98856
folk punk,125.23798
k-hop,118.6663
retro electro,121.662877551
alternative r&b,116.17714
afrobeat,114.542
polish pop,113.362530612
opera,112.05865
british folk,116.613534884
nu-cumbia,107.47052
a cappella,114.745979592
j-dance,132.408367347
alternative pop rock,125.14788
j-rap,122.422040816
boston rock,124.2586
future garage,126.817816327
crossover thrash,132.50162
mathcore,131.31326
classic danish pop,119.340142857
german indie,119.7834
glitch,118.57666
coverchill,118.63246
jazz metal,129.95216
environmental,82.7850416667
reading,103.330875
filmi,116.20004
rumba,104.871583333
azonto,117.863959184
levenslied,125.809530612
polynesian pop,113.46112
glitch hop,119.103591837
melodipop,115.575979167
arabesk,119.173183673
zolo,118.1019
northern soul,125.70706
underground rap,114.6575
spanish new wave,125.9649
vapor pop,116.500363636
brazilian punk,129.5461
piano blues,119.64582
abstract hip hop,114.772387755
deep turkish pop,119.89444
christian dance,127.23774
neoclassical,117.39572
norwegian hip hop,123.2677
liedermacher,132.65744
discofox,132.312875
australian hip hop,116.95246
folk metal,136.11392
canadian country,124.333152174
strut,121.7069375
breakbeat,133.4827
sludge metal,130.18202
italo dance,131.310204082
bluegrass,125.33206
new tribe,115.9226
neo-singer-songwriter,110.25728
finnish metal,131.329914894
danseband,126.162195652
fluxwork,124.706204082
hardcore techno,138.17852
jump blues,126.13378
welsh rock,136.267428571
technical death metal,116.154693878
german punk,135.524591837
fingerstyle,116.892795918
float house,117.557265306
sleaze rock,121.78062
australian country,126.73064
deep uplifting trance,131.464102041
alternative ccm,125.395708333
folklore argentino,114.17754
kiwi rock,115.51984
alternative pop,128.30368
grave wave,128.16358
swamp blues,119.87976
electro jazz,109.58276
rock steady,117.274
slow game,117.36034
j-metal,137.16458
post-metal,119.589142857
techno,122.12754
no wave,127.9025
russian pop,123.14732
stomp and flutter,123.8094
portland indie,112.520836735
dutch rock,121.159734694
doom metal,122.92002
modern performance,113.93308
pagan black metal,118.5689375
black metal,123.2982
jump up,152.29586
pop flamenco,120.457102041
hard alternative,131.8304
christian metal,134.76772
kirtan,109.7382
neurofunk,153.13536
polish hip hop,119.555469388
drift,98.9657
dark jazz,109.93934
peruvian rock,119.937
deathgrind,119.44444
italian indie pop,138.26138
ectofolk,121.65144
symphonic black metal,120.64704
classic italian pop,119.15832
turkish hip hop,115.1398125
cuban rumba,111.68722
brega,113.636
deep norteno,114.877979592
happy hardcore,161.96826
carnaval,126.576489362
belgian rock,121.29006
chicago house,121.1551
medieval rock,128.579204082
irish folk,120.313266667
jungle,154.49238
chamame,125.9191
scottish rock,130.74142
rap chileno,97.32584
classic chinese pop,121.49614
dark wave,127.44558
progressive uplifting trance,133.040022222
orgcore,144.729844444
austindie,116.32924
idol,125.60826
chicago indie,119.7267
medieval,110.47514
avant-garde jazz,108.62282
eurovision,121.529591837
bay area indie,119.91606
romantico,119.67376
western swing,117.68852
russian rock,119.24748
japanese city pop,129.46626
new orleans jazz,114.70552
j-idol,126.09098
italian disco,123.47314
harmonica blues,113.93598
arab pop,113.81742
puerto rican rock,117.971918367
dubstep,140.08266
classic finnish pop,128.701866667
malaysian pop,117.923489796
outsider house,117.10232
mexican rock-and-roll,114.25592
portuguese rock,111.227122449
post-doom metal,126.23072
colombian rock,113.86426
sertanejo tradicional,117.844612245
brutal death metal,125.43102
soul flow,119.95384
salsa international,116.958795918
seattle indie,116.40528
avantgarde metal,118.3657
hardcore,135.50332
nasheed,123.726102041
gbvfi,127.72004
psychedelic doom,121.47936
celtic punk,133.65302
grindcore,123.672367347
quebecois,112.12318
austropop,133.899
brazilian ccm,113.169367347
funky tech house,124.06792
riddim,111.529326531
psychedelic trance,135.26712
speed garage,125.401916667
baile funk,126.746530612
classic russian rock,118.642795918
freestyle,119.766659574
j-poprock,126.88068
italian pop rock,124.811
ebm,130.97794
math pop,126.16114
barnmusik,116.934387755
spanish noise pop,130.6524375
warm drone,96.9026938776
soca,121.64758
nursery,121.70242
ethereal wave,118.99086
nintendocore,131.49806
african gospel,121.74966
garage pop,134.4647
world meditation,86.6555
destroy techno,123.68614
balearic,118.671020408
progressive deathcore,129.98512
math rock,123.2305
laiko,116.95212
acid house,120.911183673
albuquerque indie,119.44566
mande pop,112.90078
polish punk,122.777458333
russiavision,119.7471
deep latin christian,124.21882
indie dream pop,117.32766
kindermusik,116.576318182
emo punk,139.577292683
entehno,117.02132
bassline,129.51914
k-indie,111.04484
classic finnish rock,129.897979167
substep,135.52108
electrofox,108.80198
drill and bass,119.560408163
turbo folk,119.709693878
british alternative rock,130.79686
ambeat,102.72928
ska revival,133.847122449
deep minimal techno,124.426755556
bmore,132.754285714
british indie rock,137.42924
canterbury scene,119.68058
musica para ninos,120.81234
romanian pop,117.23404
chill lounge,111.741040816
rock catala,127.421893617
free jazz,118.16324
argentine indie,119.918571429
deep comedy,97.37726
twee pop,123.83934
classic garage rock,125.081959184
volksmusik,128.13626087
post-post-hardcore,130.388
electro-industrial,132.4101
gypsy jazz,123.65326
oi,133.38274
latin electronica,112.40358
straight edge,135.48994
christian hardcore,133.04116
kabarett,107.400276596
kraut rock,106.19082
steampunk,129.44232
singaporean pop,122.322857143
swedish hard rock,131.341061224
world fusion,125.13804
slovak pop,123.134040816
dansktop,115.666673469
surf music,133.1298
thai idol,122.89636
gabba,148.441166667
gothic rock,132.42577551
chaotic hardcore,122.62132
nu age,105.69568
bhangra,116.51482
canzone napoletana,110.01986
retro metal,125.787326531
cello,116.93784
mandible,106.0942
ballroom,116.50438
ye ye,114.15104
tango,116.144469388
swedish jazz,109.854265306
dixieland,109.55632
old-time,126.364083333
laboratorio,106.802387755
mashup,123.934428571
christelijk,114.113521739
freakbeat,126.4094
punjabi,116.818795918
alternative roots rock,123.22846
